"Lake, winter_female","Lake, winter_male","Lake, winter_sterile-male","Lake, summer_female","Lake, summer_male","Lake, summer_sterile-male",Tributary 1_female,Tributary 1_male,Tributary 1_sterile-male,Tributary 2_female,Tributary 2_male,Tributary 2_sterile-male
73915.3527281,14.7921827374,14465.4061719,10123.0640674,2.46678453648,1661.77607225,50615.3168985,12.3339226824,18308.8803613,50344.9085378,1.64452302432,1107.85071483
71079.4208056,11.9678703291,15875.9870279,9643.91819376,1.99579452991,1897.05863955,48219.587532,9.97897264956,19485.2931978,50131.7915135,1.33052968661,1264.7057597
68823.6662631,9.6828117452,17016.9260077,9260.99082457,1.61473195738,2087.34727797,46304.9506777,8.07365978691,20436.7363898,50001.4929805,1.07648797159,1391.56485198
67027.3169834,7.83404573795,17939.8761024,8955.99268809,1.30642672046,2241.27150556,44779.9599854,6.53213360228,21206.3575278,49901.1983559,0.870951146971,1494.18100371
65592.906836,6.33826974625,18686.5346064,8713.02775537,1.05698705721,2365.79141873,43565.1353137,5.28493528604,21828.9570937,49811.1504043,0.704658038138,1577.19427916
64443.7104098,5.1280864034,19290.5968452,8519.06575146,0.855173599444,2466.52902529,42595.3252885,4.27586799722,22332.6451265,49726.2587336,0.570115732963,1644.35268353
63520.0097197,4.14896671175,19779.3061906,8363.75581383,0.691892943314,2548.02882547,41818.7755969,3.45946471657,22740.1441273,49646.864207,0.461261962209,1698.68588364
62775.4435089,3.35679304786,20174.6957358,8239.0015157,0.559787914091,2613.96574203,41195.0041043,2.79893957045,23069.8287101,49574.5553369,0.373191942727,1742.64382802
62173.9124749,2.71587128915,20494.5875776,8138.50338913,0.452906062975,2667.31213936,40692.5134706,2.26453031487,23336.5606968,49510.5610694,0.301937375316,1778.20809291
61687.1346915,2.19732249111,20753.3989339,8057.35442473,0.366431458786,2710.47242295,40286.7686483,1.83215729393,23552.3621147,49455.3439234,0.244287639191,1806.9816153
61292.7863375,1.77778164619,20962.7932588,7991.7130923,0.296467689458,2745.3916993,39958.5619863,1.48233844729,23726.9584965,49408.6796766,0.197645126305,1830.26113287
60973.1137778,1.43834489244,21132.2065278,7938.5512292,0.239862295678,2773.64357774,39692.752671,1.19931147839,23868.2178887,49369.8808548,0.159908197118,1849.0957185
60713.9033389,1.1637177346,21269.2727903,7895.46434804,0.194064725916,2796.50115472,39477.3182655,0.970323629578,23982.5057736,49338.0171924,0.129376483944,1864.33410315
60503.7136805,0.941525897637,21380.1683488,7860.53028338,0.157011412498,2814.99441899,39302.6479424,0.785057062488,24074.972095,49312.0831602,0.104674274998,1876.66294599
60333.2978541,0.761757761034,21469.8901606,7832.20377343,0.127032790428,2829.95668327,39161.0153929,0.635163952139,24149.7834164,49291.106367,0.0846885269519,1886.63778885
60195.1619193,0.616313250632,21542.4810518,7809.23719156,0.102778069366,2842.06214388,39046.1824837,0.513890346829,24210.3107194,49274.207268,0.0685187129106,1894.70809592
60083.2225613,0.498638861787,17041.8862794,7790.62016871,0.0831543691001,2851.85626552,38953.0973696,0.415771845501,14259.2813276,49260.6244319,0.0554362460667,1901.23751035
69481.6575109,0.403432368583,13759.4867085,7775.53291361,0.0672774760543,2296.21498059,38877.6610942,0.336387380271,11481.0749029,79695.8042773,0.0448516507029,1530.80998706
75129.2166606,0.326403913727,11124.2847832,8829.49724584,0.0544320019901,1855.65007008,44147.4803554,0.272160009951,9278.25035041,78890.3133283,0.0362880013267,1237.10004672
79793.9628148,0.264082714215,8997.2216193,9592.44068692,0.0440391497195,1500.61460646,47962.1976795,0.220195748597,7503.0730323,79746.7905534,0.0293594331463,1000.40973764
83336.3687156,0.213660673219,7278.03716994,10217.4794231,0.0356306333982,1213.79909684,51087.3913333,0.178153166991,6068.99548419,79537.1120774,0.0237537555988,809.199397892
86089.9467952,0.172865851581,5887.8168255,10698.8827259,0.0288275782901,981.911903934,53494.4078963,0.14413789145,4909.55951967,79431.1111857,0.0192183855267,654.607935956
88210.5351261,0.139860097756,4763.35086668,11073.129844,0.0233234492575,794.370351332,55365.6435205,0.116617246288,3971.85175666,79280.5894402,0.0155489661717,529.580234222
89860.0341591,0.113156223543,3853.72855257,11361.9610356,0.0188702387622,642.668700649,56809.79951,0.0943511938112,3213.34350325,79202.7587963,0.0125801591748,428.445800433
91150.5372847,0.0915509936853,3117.85311843,11586.4118044,0.0152672920293,519.947001521,57932.0533754,0.0763364601465,2599.7350076,79170.0921196,0.0101781946862,346.631334347
92169.0682214,0.0740709099541,2522.51510794,11761.8218819,0.0123522658534,420.664270963,58809.1037773,0.061761329267,2103.32135481,79176.9758628,0.00823484390227,280.442847309
92978.6729595,0.0599283468216,2040.86424961,11900.0269422,0.00999381366523,340.341563255,59500.1290877,0.0499690683261,1701.70781627,79205.8531002,0.00666254244348,226.894375503
93626.2725891,0.0484860622747,1651.18549496,12009.704906,0.0080856672582,275.356993624,60048.5189114,0.040428336291,1376.78496812,79245.7083368,0.0053904448388,183.571329083
94146.7213418,0.0392284846753,1335.91406659,12097.3061311,0.00654184850753,222.781108973,60486.5250394,0.0327092425376,1113.90554487,79288.2478715,0.00436123233835,148.520739316
94566.4064034,0.0317384819003,1080.84093546,12167.6244815,0.00529279532893,180.244221959,60838.1167927,0.0264639766446,901.221109793,79328.8337295,0.00352853021929,120.162814639
94905.5839967,0.0256785660132,874.471085986,12224.2780866,0.00428222731873,145.829315339,61121.3848189,0.0214111365937,729.146576693,79365.0822475,0.00285481821249,97.2195435591
95180.0596832,0.0207756865804,707.504821005,12270.0356939,0.00346460984597,117.985505925,61350.1728552,0.0173230492298,589.927529623,79396.1712755,0.00230973989731,78.6570039497
95402.3250934,0.0168089274402,572.418349282,12307.0498322,0.00280310233235,95.4580842281,61535.2435468,0.0140155116617,477.290421141,79422.1400409,0.00186873488823,63.6387228187
95582.3557303,0.0135995525634,463.124574693,12337.0163311,0.00226789827281,77.2319377783,61685.0760413,0.011339491364,386.159688892,79443.4681943,0.00151193218187,51.4879585189
95728.1749781,0.0110029524836,374.698713742,12361.285883,0.0018348822005,62.4857897774,61806.4238009,0.00917441100249,312.428948887,79460.8009361,0.00122325480033,41.6571931849
95846.2663101,0.00890212841871,303.156333856,12380.9427638,0.00148454308117,50.5551817695,61904.7082048,0.00742271540587,252.775908847,79474.8008626,0.00098969538745,33.703454513
95941.8826571,0.0072024204868,245.273788547,12396.8619833,0.00120109517617,40.9025276405,61984.3043022,0.00600547588087,204.512638203,79486.0738596,0.000800730117449,27.2683517603
96019.2852516,0.00582724247828,198.442946655,12409.7518932,0.000971766761451,33.0928871746,62048.7538513,0.00485883380725,165.464435873,79495.141052,0.000647844507634,22.061924783
96081.9319835,0.00471463099981,160.55366366,12420.1868543,0.000786224653461,26.7743662638,62100.928657,0.0039311232673,133.871831319,79502.4348369,0.000524149768974,17.8495775092
96132.628299,0.00381445349961,129.898695917,12428.6328543,0.000636108611892,21.6622599332,62143.1586569,0.00318054305946,108.311299666,79508.3065454,0.000424072407928,14.4415066221
96173.6492713,0.0030861493723,105.096771512,12435.4679421,0.000514654640175,17.526223303,62177.3340958,0.00257327320087,87.6311165148,79513.0383256,0.00034310309345,11.6841488686
96206.8388782,0.00249690236075,85.0303503198,12440.9987118,0.000416390210259,14.1798922181,62204.9879441,0.0020819510513,70.8994610906,79516.8555172,0.000277593473506,9.45326147875
96233.6909184,0.00202016190631,68.7952682438,12445.4736852,0.00033688767897,11.4724857441,62227.3628115,0.00168443839485,57.3624287207,79519.9378047,0.00022459178598,7.64832382942
96255.4149772,0.00163444682174,55.6599963178,12449.0942101,0.000272564785256,9.28201208155,62245.4654358,0.00136282392628,46.4100604078,79522.4285842,0.000181709856837,6.18800805437
96272.9901616,0.0013223773821,45.0326787613,12452.0233412,0.000220523239047,7.50977172887,62260.1110912,0.00110261619523,37.5488586443,79524.4425296,0.000147015492698,5.00651448591
96287.2088146,0.0010698922213,36.4344646495,12454.3930751,0.000178418128791,6.07591019179,62271.9597607,0.000892090643957,30.3795509589,79526.0715804,0.000118945419194,4.05060679452
96298.7120304,0.000865614748618,29.4779315021,12456.310237,0.000144352263367,4.91581983771,62281.5455703,0.000721761316835,24.5790991885,79527.3896337,9.62348422446e-05,3.27721322514
96308.0184705,0.000700340537216,23.8496285493,12457.8612644,0.000116790687585,3.97722876086,62289.3007075,0.000583953437924,19.8861438043,79528.4562165,7.78604583899e-05,2.65148584057
96315.547722,0.000566622586838,19.2959530809,12459.1160897,9.44915194843e-05,3.2178454824,62295.5748337,0.000472457597422,16.089227412,79529.3193635,6.29943463229e-05,2.1452303216
96321.6392148,0.000458435773534,15.6117234748,12460.1312875,7.64499930525e-05,2.60345335671,62300.650823,0.000382249965262,13.0172667836,79530.0178867,5.0966662035e-05,1.73563557114
96326.5675352,0.000370905366883,12.6309340156,12460.9526254,6.18531850226e-05,2.10636881937,62304.7575121,0.000309265925113,10.5318440969,79530.5831739,4.12354566817e-05,1.40424587958
96330.5548157,0.000300087382191,10.2192749247,12461.6171273,5.00433858092e-05,1.70419400682,62308.080022,0.000250216929046,8.5209700341,79531.040623,3.33622572061e-05,1.13612933788
96333.780759,0.00024279087064,8.26808056481,12462.154745,4.04884641322e-05,1.37880754225,62310.7681101,0.000202442320661,6.89403771127,79531.4107915,2.69923094214e-05,0.919205028169
96336.3907453,0.000196434140068,6.68943313093,12462.5897086,3.27578900043e-05,1.11554801386,62312.9429282,0.000163789450022,5.57774006929,79531.7103208,2.18385933362e-05,0.743698675906
96338.5023899,0.00015892842792,5.41220120876,12462.9416205,2.65033357164e-05,0.902553353926,62314.7024879,0.000132516678582,4.51276676963,79531.9526828,1.76688904776e-05,0.60170223595
96340.2108473,0.000128583784838,4.37883470205,12463.2263394,2.14429807293e-05,0.73022635223,62316.1260825,0.000107214903647,3.65113176115,79532.1487829,1.42953204862e-05,0.486817568153
96341.5931017,0.000104032928152,3.54277171365,12463.4566954,1.73488132769e-05,0.590802220471,62317.2778622,8.67440663843e-05,2.95401110236,79532.3074481,1.15658755179e-05,0.393868146981
96342.7114372,8.41696342473e-05,2.86634053818,12463.6430684,1.40363565082e-05,0.477998722856,62318.2097275,7.01817825411e-05,2.38999361428,79532.4358225,9.35757100547e-06,0.318665815238
96343.6162452,6.80988938325e-05,2.31906223307,12463.7938566,1.13563562465e-05,0.386733108235,62318.9636681,5.67817812324e-05,1.93366554117,79532.5396879,7.57090416432e-06,0.257822072157
96344.3482953,5.50965842098e-05,1.87627728442,12463.9158542,9.18805582642e-06,0.312893089174,62319.5736563,4.59402791321e-05,1.56446544587,79532.6237228,6.12537055094e-06,0.208595392783
96344.9405729,4.45768414249e-05,1.51803448738,12464.0145584,7.43375498594e-06,0.253151548635,62320.0671775,3.71687749297e-05,1.26575774317,79532.691713,4.95583665729e-06,0.16876769909
96345.4197651,3.60656621445e-05,1.22819197572,12464.0944168,6.01440764346e-06,0.204816625218,62320.4664691,3.00720382173e-05,1.02408312609,79532.7467218,4.00960509564e-06,0.136544416812
96345.8074636,2.91795457986e-05,0.993689894262,12464.1590275,4.86606020378e-06,0.165710422049,62320.7895227,2.43303010189e-05,0.828552110246,79532.7912276,3.24404013585e-06,0.110473614699
96346.1211378,2.36082146393e-05,0.803961942023,12464.2113019,3.93696990801e-06,0.134070874115,62321.0508948,1.96848495401e-05,0.670354370576,79532.8272359,2.62464660534e-06,0.0893805827435
96346.3749211,1.91006331045e-05,0.650459271008,12464.2535954,3.18527338493e-06,0.108472352336,62321.2623623,1.59263669247e-05,0.54236176168,79532.856369,2.12351558995e-06,0.0723149015574
96346.5802489,1.54536965445e-05,0.526265288354,12464.2878137,2.57710035226e-06,0.087761426925,62321.4334536,1.28855017613e-05,0.438807134625,79532.8799396,1.7180669015e-06,0.05850761795
96346.7463728,1.25030796405e-05,0.425784005351,12464.3154985,2.08504747411e-06,0.0710048956264,62321.571878,1.04252373705e-05,0.355024478132,79532.8990099,1.39003164941e-06,0.0473365970843
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
