"Lake, winter_female","Lake, winter_male","Lake, summer_female","Lake, summer_male",Tributary 1_female,Tributary 1_male,Tributary 2_female,Tributary 2_male
96347.3978423,0.0317384819003,12464.4240672,0.00529279532893,62322.1147213,0.0264639766446,79532.9737959,0.00352853021929
96347.4078608,0.0256785660132,12464.4257368,0.00428222731873,62322.1230692,0.0214111365937,79532.9749459,0.00285481821249
96347.4159664,0.0207756865804,12464.4270876,0.00346460984597,62322.1298233,0.0173230492298,79532.9758764,0.00230973989731
96347.4225244,0.0168089274402,12464.4281805,0.00280310233235,62322.1352878,0.0140155116617,79532.9766293,0.00186873488823
96347.4278302,0.0135995525634,12464.4290647,0.00226789827281,62322.1397089,0.011339491364,79532.9772384,0.00151193218187
96347.432123,0.0110029524836,12464.4297801,0.0018348822005,62322.1432859,0.00917441100249,79532.9777312,0.00122325480033
96347.4355961,0.00890212841871,12464.4303589,0.00148454308117,62322.14618,0.00742271540587,79532.9781299,0.00098969538745
96347.4384061,0.0072024204868,12464.4308272,0.00120109517617,62322.1485214,0.00600547588087,79532.9784524,0.000800730117449
96347.4406796,0.00582724247828,12464.4312061,0.000971766761451,62322.1504158,0.00485883380725,79532.9787134,0.000647844507634
96347.442519,0.00471463099981,12464.4315126,0.000786224653461,62322.1519485,0.0039311232673,79532.9789246,0.000524149768974
96347.4440072,0.00381445349961,12464.4317607,0.000636108611892,62322.1531886,0.00318054305946,79532.9790954,0.000424072407928
96347.4452113,0.0030861493723,12464.4319613,0.000514654640175,62322.1541919,0.00257327320087,79532.9792336,0.00034310309345
96347.4461854,0.00249690236075,12464.4321237,0.000416390210259,62322.1550036,0.0020819510513,79532.9793455,0.000277593473506
96347.4469736,0.00202016190631,12464.432255,0.00033688767897,62322.1556604,0.00168443839485,79532.979436,0.00022459178598
96347.4476113,0.00163444682174,12464.4323613,0.000272564785256,62322.1561917,0.00136282392628,79532.9795092,0.000181709856837
96347.4481272,0.0013223773821,12464.4324473,0.000220523239047,62322.1566216,0.00110261619523,79532.9795684,0.000147015492698
96347.4485446,0.0010698922213,12464.4325168,0.000178418128791,62322.1569694,0.000892090643957,79532.9796163,0.000118945419194
96347.4488823,0.000865614748618,12464.4325731,0.000144352263367,62322.1572508,0.000721761316835,79532.9796551,9.62348422446e-05
96347.4491556,0.000700340537216,12464.4326186,0.000116790687585,62322.1574785,0.000583953437924,79532.9796864,7.78604583899e-05
96347.4493766,0.000566622586838,12464.4326555,9.44915194843e-05,62322.1576627,0.000472457597422,79532.9797118,6.29943463229e-05
96347.4495555,0.000458435773534,12464.4326853,7.64499930525e-05,62322.1578118,0.000382249965262,79532.9797323,5.0966662035e-05
96347.4497002,0.000370905366883,12464.4327094,6.18531850226e-05,62322.1579323,0.000309265925113,79532.979749,4.12354566817e-05
96347.4498173,0.000300087382191,12464.4327289,5.00433858092e-05,62322.1580299,0.000250216929046,79532.9797624,3.33622572061e-05
96347.449912,0.00024279087064,12464.4327447,4.04884641322e-05,62322.1581088,0.000202442320661,79532.9797733,2.69923094214e-05
96347.4499886,0.000196434140068,12464.4327575,3.27578900043e-05,62322.1581727,0.000163789450022,79532.9797821,2.18385933362e-05
